trip_id,time,speed,Number_of_trips
NORMAL_203P_Shewalwadi To Pune station_Up-0855_0,0.204444445,33.839398891,152.0
NORMAL_152_MNP To Dhanori / KamalPark Via Lohagaon_Up-1335_0,0.204444445,29.817042553454545,59.0
NORMAL_43_Bhakti Shakti To Katraj_Down-0905_0,0.204444445,33.43170613111111,38.0
NORMAL_291_Katraj To Hadapsar Gadital_Up-0840_0,0.204722222,41.42195302428571,123.0
NORMAL_298_Katraj To Chinchwad Gaon_Up-1430_0,0.205,29.353789342,314.0
NORMAL_103_Hinjawadi - Maan Phase 3 To Katraj_Down-0750_0,0.205,32.30844442208333,157.0
NORMAL_291_Hadapsar Gadital To Katraj_Down-0840_0,0.205277776,31.337316869166667,36.0
NORMAL_119_Ma Na Pa To Alandi_Up-1320_0,0.205555555,40.266087664375,365.0
NORMAL_324_Hinjawadi Maan Phase 3 to Bhosari_Down-0845_0,0.20583333099999998,34.21780083714286,46.0
NORMAL_333_Hinjawadi Maan Phase 3 To Pune Station_Down-0825_0,0.205833333,36.073957159,144.0
NORMAL_43_Katraj To Bhakti Shakti_Up-0815_0,0.205833333,30.494189473,80.0
NORMAL_204_Chinchwad Gaon to  Bhekrainagar_Down-0840_0,0.205833335,40.05012560071429,217.0
NORMAL_VJR2_Kesnand Phata To Warje Malwadi_Down-0815_0,0.205833336,35.92180184714285,225.0
NORMAL_42_Bhakti Shakti To Katraj_Down-0805_0,0.20611111,27.010982847999998,200.0
NORMAL_168_Keshavnagar To Ma Na Pa_Down-0840_0,0.206111112,23.397576455,85.0
NORMAL_24_Katraj To Maharashtra Housing Board Samtanagar_Up-1430_0,0.206111112,31.189666236363635,550.0
NORMAL_120_Ma Na Pa To Indoorance System Chakan Mhalunge_Up-1445_0,0.206388889,20.064728165000002,362.0
NORMAL_143A_Galinde Path To Pune Station (Vai Nal Stop)_Up-0850_0,0.20638888900000002,32.172728211999996,119.0
NORMAL_36_Ma Na Pa To Chinchwadgaon_Up-0850_0,0.20638889,41.1635934676923,191.0
NORMAL_292B_Rahatwadegaon To Swargate_Down-0825_0,0.20638889,31.403369818999998,114.0
NORMAL_30_Marketyard To Ghotawade Phata_Up-0830_0,0.206666666,46.0295903285,69.0
NORMAL_2_Katraj To Shivajinagar_Up-0855_0,0.206666666,27.334598410909095,250.0
NORMAL_313_Chandkhed To Chinchwadgaon_Down-0905_0,0.206666667,42.027607632727275,11.0
NORMAL_256_Ma Na Pa To Balewadi Depot_Up-1345_0,0.206944444,36.359633462727274,111.0
NORMAL_308_Gharkul Vasahat Chikhli To Bhakti Shakti_Down-0900_0,0.206944444,27.585048427272728,42.0
NORMAL_64_NDA 10 No Gate Bus Stand To Nehru Stadium Via Dattawadi_Down-1340_0,0.206944444,23.472488578444445,249.0
NORMAL_207_Saswad To Hadapsar_Down-0840_0,0.206944444,47.62164115294118,86.0
NORMAL_140_Pune Station To Upper Depot_Down-0850_0,0.206944445,36.451379014375,71.0
NORMAL_203_Bhekarai Depot To Pune station_Up-0845_0,0.207222221,27.604084198666666,121.0
NORMAL_103_Katraj To Kothrud Depot_Up-0845_0,0.207222222,31.369633340000004,174.0
NORMAL_159_Kasturi Shikshan Sanstha To Ma Na Pa_Down-0820_0,0.207222222,37.92139872,180.0
NORMAL_133_Anand Park To Ma Na Pa_Down-0900_0,0.207222222,31.36676745538462,105.0
NORMAL_197_Kothrud Depot To Hadapsar Gadital_Down-0855_0,0.2075,29.966619459928573,222.0
NORMAL_186A_Swargate To Jspm College_Down-0815_0,0.2075,29.755344029,49.0
NORMAL_2_Bhilarewadi To Shivaji nagar_Up-0840_0,0.20750000000000002,25.277682805454546,243.0
NORMAL_43_Bhakti Shakti To Katraj_Down-0845_0,0.207777777,29.217235055454545,79.0
NORMAL_208_Hinjawadi Maan Phase 3 To Hadapsar Gadital_Down-0750_0,0.207777777,27.48553072111111,141.0
NORMAL_183_Theur To Hadapsar Gadital_Down-0900_0,0.207777778,38.06237556857143,35.0
NORMAL_376_Bhakti Shakti To Katraj (Vai YCM)_Down-0825_0,0.207777778,40.049547681875,220.0
NORMAL_82_NDA 10 No Gate Bus Stand To MaNaPa To Kondhwagate_Round-1240_0,0.207777778,29.0307628662,455.0
NORMAL_VJR1_Hadapsar Gadital To Dhayari Maruti Mandir_Up-0825_0,0.207777779,32.239821405625,118.0
NORMAL_106_Dhayari Maruti Mandir to Kothrud Depot_Down-1410_0,0.208055552,32.418897615789476,459.0
NORMAL_354_Pimprigaon To Marketyard_Down-0820_0,0.208055554,39.88192768533334,195.0
NORMAL_318_Krishna nagar To Pune Station_Down-0840_0,0.208055554,33.224832299999996,141.0
NORMAL_191_Pune Station To Trinity College_Up-0855_0,0.208055555,32.35690273615385,50.0
NORMAL_181C_Kondhwa Bk To Na Ta Wadi_Down-0845_0,0.208055555,30.393313361285713,23.0
NORMAL_357_Bhosari Terminal To Pune Station_Down-0840_0,0.208055555,39.32548465230769,153.0
NORMAL_42_Bhakti Shakti To Katraj_Down-1325_0,0.208055556,21.983239044,340.0
NORMAL_230_Pune Station To Bharati Vidyapeeth_Down-0845_0,0.208055556,27.7601672834,192.0
NORMAL_347_Dapodi To Alandi_Down-0820_0,0.208333332,39.06072118535714,45.0
NORMAL_148A_Bhosari Terminal To Bhekarai Depot_Down-0840_0,0.208333332,32.99749552223077,53.0
NORMAL_357_Pune Station To Bhosari Terminal_Up-0905_0,0.208333333,38.99347608454545,167.0
NORMAL_133_Ma Na Pa Dengle Pul 2 To Sainathnagar Coloumbia Hospital_Up-0840_0,0.208611111,39.43445270071429,57.0
